Currency Code,Currency Description,Total,EI,EI_XS,NEI_L,NEI_L_XS,NEI_S,DC
AA02A,Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury with CC,7217,7547,157,7434,320,3775,3389
AA02B,Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury without CC,5805,5650,,5856,274,3633,
AA03A,Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture with CC,6235,8001,331,6146,307,3502,
AA03B,Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture without CC,5505,5434,362,5282,281,5468,1438
AA04A,Major Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident Nervous System Infections or Encephalopathy with CC,12652,11269,266,14118,293,3550,
AA04B,Major Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident Nervous System Infections or Encephalopathy without CC,9817,4875,,11226,316,3372,1483
AA05A,Major Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders with CC,10116,7098,209,12586,319,6746,
AA05B,Major Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders without CC,5477,4463,315,7115,363,9112,
AA06A,Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts with CC,9301,8297,314,10842,361,5568,3498
AA06B,Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts without CC,6195,5536,317,9094,334,4208,1511
AA07A,Major Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC,10438,11973,336,9422,299,3735,360
AA07B,Major Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System without CC,8525,11373,241,7154,194,2010,651
AA08A,Major Intracranial Procedures Except Trauma with Muscular Balance Cranial or Peripheral Nerve Disorders or Epilepsy with CC,8109,8155,359,8214,477,645,2631
AA08B,Major Intracranial Procedures Except Trauma with Muscular Balance Cranial or Peripheral Nerve Disorders or Epilepsy without CC,9421,10164,347,8938,,713,1663
AA09A,Major Intracranial Procedures Except Trauma with Other Diagnoses with CC,5858,6997,410,9864,266,2615,1063
AA09B,Major Intracranial Procedures Except Trauma with Other Diagnoses without CC,2123,4839,273,7746,304,2323,779
AA10A,Intermediate Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident Nervous System Infections or Encephalopathy with CC,11827,6281,,13781,247,3370,
AA10B,Intermediate Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident Nervous System Infections or Encephalopathy without CC,6778,5436,,9090,,2582,
AA11A,Intermediate Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders with CC,12137,11277,,13779,353,4650,
AA11B,Intermediate Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders without CC,8811,10976,321,9798,133,4639,
AA12A,Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts with CC,7823,6951,346,8551,334,5079,5168
AA12B,Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts without CC,7300,6632,287,8030,367,4936,7293
AA13A,Intermediate Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC,7013,6085,355,7541,330,3279,3132
AA13B,Intermediate Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System without CC,6230,6473,284,6215,295,2396,2500
AA14A,Intermediate Intracranial Procedures Except Trauma with Muscular Balance Cranial or Peripheral Nerve Disorders or Epilepsy with CC,3781,3826,519,4471,402,823,1708
AA14B,Intermediate Intracranial Procedures Except Trauma with Muscular Balance Cranial or Peripheral Nerve Disorders or Epilepsy without CC,3993,5021,400,4769,,,1451
AA15A,Intermediate Intracranial Procedures Except Trauma with Other Diagnoses with CC,7736,6700,274,8972,429,3583,3403
AA15B,Intermediate Intracranial Procedures Except Trauma with Other Diagnoses without CC,5751,5971,325,7793,404,1470,1396
AA16A,Minor Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident Nervous System Infections or Encephalopathy with CC,7893,7167,438,9445,253,3490,346
AA16B,Minor Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident Nervous System Infections or Encephalopathy without CC,6452,6780,610,6877,254,2432,1266
AA17A,Minor Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders with CC,7686,9023,,9798,288,3559,524
AA17B,Minor Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders without CC,7932,9966,,7003,305,2359,
AA18A,Minor Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts with CC,5885,5250,255,6747,231,2819,2191
AA18B,Minor Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts without CC,5569,5404,287,6403,375,2089,1956
AA19A,Minor Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC,4153,4915,372,5543,297,2046,646
AA19B,Minor Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System without CC,3565,5663,838,4742,255,1563,672
AA20A,Minor Intracranial Procedures Except Trauma with Muscular Balance Cranial or Peripheral Nerve Disorders or Epilepsy with CC,3598,5231,460,3977,432,1826,1581
AA20B,Minor Intracranial Procedures Except Trauma with Muscular Balance Cranial or Peripheral Nerve Disorders or Epilepsy without CC,3055,5851,394,4477,324,723,1450
AA21A,Minor Intracranial Procedures Except Trauma with Other Diagnoses with CC,3381,5365,347,6096,353,2132,811
AA21B,Minor Intracranial Procedures Except Trauma with Other Diagnoses without CC,1079,4645,217,5462,262,2190,845
